"Movie","Month","Day","Year","Budget","Domestic_Gross","Worldwide_Gross","profitable","season"
"Orgazmo","Oct",23,1998,1,0.582024,0.627287,FALSE,"rest"
"The Prestige","Oct",20,2006,40,53.089891,104.407366,TRUE,"rest"
"Paul Blart: Mall Cop","Jan",16,2009,26,146.336178,185.90475,TRUE,"rest"
"Madagascar: Escape 2 Africa","Nov",7,2008,150,180.17488,599.680774,TRUE,"rest"
"Albino Alligator","Jan",17,1997,5,0.35348,0.35348,FALSE,"rest"
"The Ballad of Gregorio Cortez","Aug",19,1983,1.305,0.909,0.909,FALSE,"summer"
"How High","Dec",21,2001,12,31.155435,31.222395,TRUE,"rest"
"Camping Sauvage","Jul",16,2004,4.6,3.479302,3.479302,FALSE,"summer"
"Reign of Assassins","Nov",1,2016,14,0,11.35423,FALSE,"rest"
"All is Lost","Oct",18,2013,8.5,6.26367,10.386814,TRUE,"rest"
"The Net","Jul",28,1995,22,50.621733,110.521733,TRUE,"summer"
"First Morning","Jul",15,2005,0.3,0.087264,0.087264,FALSE,"summer"
"Antarctica: A Year on Ice","Nov",28,2014,1,0.288757,0.288757,FALSE,"rest"
"Over Her Dead Body","Feb",1,2008,10,7.570127,21.596074,TRUE,"rest"
"Secret in Their Eyes","Nov",20,2015,20,20.180155,30.808558,TRUE,"rest"
"Medicine Man","Feb",7,1992,40,44.94824,44.94824,TRUE,"rest"
"Jagten","May",17,2013,3.45,0.687185,18.309793,TRUE,"rest"
"Legend of the Guardians: The Owls of Ga'Hoole","Sep",24,2010,100,55.675313,139.716717,TRUE,"rest"
"American Dreamz","Apr",21,2006,17,7.314027,16.510971,FALSE,"rest"
"My Blueberry Nights","Apr",4,2008,10,0.866778,22.198996,TRUE,"rest"
"Lesbian Vampire Killers","Dec",29,2009,2,0,3.620902,TRUE,"rest"
"Kingsman: The Golden Circle","Sep",22,2017,104,100.234838,408.834838,TRUE,"rest"
"Anger Management","Apr",11,2003,56,135.560942,195.660942,TRUE,"rest"
"Fly Me To the Moon","Aug",15,2008,25,14.543943,43.530281,TRUE,"summer"
"Casino Royale","Nov",17,2006,102,167.365,594.420283,TRUE,"rest"
"The Brothers Solomon","Sep",7,2007,10,0.900926,0.900926,FALSE,"rest"
"Friday After Next","Nov",22,2002,10,33.253609,33.526835,TRUE,"rest"
"My Name is Khan","Feb",12,2010,8.47,4.046336,42.355526,TRUE,"rest"
"Stuck","May",30,2008,5,0.067505,0.067505,FALSE,"rest"
