Movie,Month,Day,Year,Budget,Domestic_Gross,Worldwide_Gross
Raise the Titanic,Aug,1,1980,40,7,7
Flash Gordon,Dec,5,1980,35,27.10796,27.10796
Popeye,Dec,12,1980,20,49.823037,49.823037
The Fog,Feb,1,1980,1,21.378361,21.378361
Dressed to Kill,Jan,1,1980,6.5,31.899,31.899
Maniac,Jan,1,1980,0.35,10,10
Terror Train,Jan,1,1980,3.5,8,8
Lion of the Desert,Jan,1,1980,35,1.5,1.5
Airplane!,Jul,4,1980,3.5,83.453539,83.453539
Caddyshack,Jul,25,1980,6,39.846344,39.846344
Galaxina,Jun,6,1980,5.5,4.865,4.865
The Island,Jun,13,1980,22,15.716828,15.716828
The Blues Brothers,Jun,20,1980,27,57.22989,57.22989
The Blue Lagoon,Jun,20,1980,4.5,47.923795,47.923795
Can't Stop the Music,Jun,20,1980,20,2,2
Coal Miner's Daughter,Mar,7,1980,15,67.182787,67.182787
Mad Max,Mar,21,1980,0.2,8.75,99.75
Friday the 13th,May,9,1980,0.55,39.754601,59.754601
Penitentiary,May,10,1980,0.1,0.287,0.287
The Long Riders,May,16,1980,10,15.198912,15.198912
Home Movies,May,16,1980,0.4,0.089134,0.089134
Star Wars Ep. V: The Empire Strikes Back,May,21,1980,23,290.27196,534.17196
The Shining,May,23,1980,19,44.017374,44.728227
Raging Bull,Nov,14,1980,18,23.380203,23.380203
Heaven's Gate,Nov,19,1980,44,3.484331,3.484523
The Elephant Man,Oct,3,1980,5,26.010864,26.010864
Somewhere in Time,Oct,3,1980,5.1,9.709597,9.709597
Private Benjamin,Oct,10,1980,15,69.847348,69.847348
Ordinary People,Sep,19,1980,6,52.302978,52.302978
Nighthawks,Apr,10,1981,5,14.6,19.6
The Howling,Apr,10,1981,1,17.985,17.985
Friday the 13th Part 2,Apr,30,1981,1.25,21.722776,21.722776
Heavy Metal,Aug,7,1981,9.3,19.571091,19.571091
Gallipoli,Aug,28,1981,3,5.732587,5.732587
Reds,Dec,4,1981,33.5,50,50
Taps,Dec,9,1981,14,35.856053,35.856053
Heartbeeps,Dec,18,1981,10,6,6
Modern Problems,Dec,25,1981,8,24.474312,24.474312
Sphinx,Feb,11,1981,10,2,11.4
Roar,Jan,1,1981,17,2.11005,2.11005
Escape from New York,Jul,10,1981,6,25.2447,25.2447
Blow Out,Jul,24,1981,18,13.747234,13.747234
Under the Rainbow,Jul,31,1981,20,18.82649,18.82649
Raiders of the Lost Ark,Jun,12,1981,20,225.686079,367.452079
Clash of the Titans,Jun,12,1981,15,30,44.4
History of the World: Part I,Jun,12,1981,11,31.672,31.672
Superman II,Jun,19,1981,54,156.890462,156.890462
Superman II,Jun,19,1981,54,156.890462,156.890462
For Your Eyes Only,Jun,26,1981,28,54.8,195.3
Stripes,Jun,26,1981,10,85.3,85.3
Dragonslayer,Jun,26,1981,18,6,6
The Postman Always Rings Twice,Mar,20,1981,12,12.2,44.2
Graduation Day,May,1,1981,0.25,23.894,23.894
The Four Seasons,May,22,1981,6.5,42.488161,42.488161
The Legend of the Lone Ranger,May,22,1981,18,13.4,13.4
Time Bandits,Nov,6,1981,12,37.4,37.4
The Pursuit of D.B. Cooper,Nov,13,1981,12,2.104164,2.104164
Halloween II,Oct,30,1981,2.5,25.533818,25.533818
Mommie Dearest,Sep,18,1981,5,19.032,25.032
Chariots of Fire,Sep,25,1981,5.5,61.558162,61.865947
Cat People,Apr,2,1982,12.5,7,21
Diner,Apr,2,1982,5,12.592907,12.592907
Friday the 13th Part 3,Aug,13,1982,2.25,36.690067,36.690067
Fast Times at Ridgemont High,Aug,13,1982,4.5,27.09288,27.09288
The Beastmaster,Aug,20,1982,5,10.751126,10.751126
Class of 1984,Aug,20,1982,3.25,6.965361,6.965361
Jekyll and Hyde... Together Again,Aug,27,1982,5,3.707583,3.707583
Gandhi,Dec,8,1982,22,52.767889,127.767889
The Verdict,Dec,8,1982,16,53.97725,53.97725
Tootsie,Dec,17,1982,15,177.2,177.2
Das Boot,Feb,10,1982,12,11.487676,84.970337
La Guerre du feu,Feb,12,1982,12.5,20.959585,20.959585
The Border,Jan,29,1982,13.5,6.118683,6.118683
Tron,Jul,9,1982,17,26.918576,26.918576
The Best Little Whorehouse in Texas,Jul,23,1982,20.5,69.701637,69.701637
Poltergeist,Jun,4,1982,10.7,74.706019,121.706019
Star Trek II: The Wrath of Khan,Jun,4,1982,12,78.912963,95.8
ET: The Extra-Terrestrial,Jun,11,1982,10.5,435.110554,792.965326
Firefox,Jun,18,1982,21,45.78572,45.78572
Blade Runner,Jun,25,1982,28,32.656328,33.139457
Megaforce,Jun,25,1982,18,5.675599,5.675599
Porky's,Mar,19,1982,4,109.492484,109.492484
Conan the Barbarian,May,14,1982,20,38.264085,79.114085
Mad Max 2: The Road Warrior,May,21,1982,2,24.600832,24.600832
The Man From Snowy River,Nov,3,1982,5,20.659423,20.659423
